"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4881","test_multiple_tooltips_sequence","PlaywrightDemoQA","Thu Mar 05 21:15:25 UTC 2026","passed","Thu Mar 05 21:15:30 UTC 2026","ToolTipsTests","PlaywrightDemoQA.Tests.Widgets","ToolTipsTests","test_multiple_tooltips_sequence"
"","2373","DeleteUser_Test","PlaywrightDemoQA","Thu Mar 05 21:13:21 UTC 2026","passed","Thu Mar 05 21:13:23 UTC 2026","WebTablesTests","PlaywrightDemoQA.Tests.Elements","WebTablesTests","DeleteUser_Test"
"","2773","SmallModal","PlaywrightDemoQA","Thu Mar 05 21:12:36 UTC 2026","passed","Thu Mar 05 21:12:39 UTC 2026","ModalDialogsTests","PlaywrightDemoQA.Tests.AlertsFrameWindows","ModalDialogsTests","SmallModal"
"","2527","Test_Result_Output_Consistency","PlaywrightDemoQA","Thu Mar 05 21:12:49 UTC 2026","passed","Thu Mar 05 21:12:51 UTC 2026","CheckBoxTests","PlaywrightDemoQA.Tests.Elements","CheckBoxTests","Test_Result_Output_Consistency"
"","2471","OpenNewTab_And_VerifyContent","PlaywrightDemoQA","Thu Mar 05 21:12:24 UTC 2026","passed","Thu Mar 05 21:12:26 UTC 2026","BrowserWindowsTests","PlaywrightDemoQA.Tests.AlertsFrameWindows","BrowserWindowsTests","OpenNewTab_And_VerifyContent"
"","2572","test_menu_disappears_on_mouse_leave","PlaywrightDemoQA","Thu Mar 05 21:14:08 UTC 2026","passed","Thu Mar 05 21:14:10 UTC 2026","MenuTests","PlaywrightDemoQA.Tests.Widgets","MenuTests","test_menu_disappears_on_mouse_leave"
"","2457","OpenNewWindow_And_VerifyContent","PlaywrightDemoQA","Thu Mar 05 21:12:26 UTC 2026","passed","Thu Mar 05 21:12:29 UTC 2026","BrowserWindowsTests","PlaywrightDemoQA.Tests.AlertsFrameWindows","BrowserWindowsTests","OpenNewWindow_And_VerifyContent"
"","2487","DatePicker_CalendarSelect_Test","PlaywrightDemoQA","Thu Mar 05 21:13:58 UTC 2026","passed","Thu Mar 05 21:14:00 UTC 2026","DatePickerTests","PlaywrightDemoQA.Tests.Widgets","DatePickerTests","DatePicker_CalendarSelect_Test"
"","2689","test_section_number_tooltip","PlaywrightDemoQA","Thu Mar 05 21:15:30 UTC 2026","passed","Thu Mar 05 21:15:33 UTC 2026","ToolTipsTests","PlaywrightDemoQA.Tests.Widgets","ToolTipsTests","test_section_number_tooltip"
"","2658","Accordian_Test","PlaywrightDemoQA","Thu Mar 05 21:13:50 UTC 2026","passed","Thu Mar 05 21:13:53 UTC 2026","AccordianTests","PlaywrightDemoQA.Tests.Widgets","AccordianTests","Accordian_Test"
"","2493","TextBox_FillForm_DisplaysData","PlaywrightDemoQA","Thu Mar 05 21:13:06 UTC 2026","passed","Thu Mar 05 21:13:09 UTC 2026","TextBoxTests","PlaywrightDemoQA.Tests.Elements","TextBoxTests","TextBox_FillForm_DisplaysData"
"","2509","test_resize_without_restrictions","PlaywrightDemoQA","Thu Mar 05 21:13:34 UTC 2026","passed","Thu Mar 05 21:13:37 UTC 2026","ResizableTests","PlaywrightDemoQA.Tests.Interactions","ResizableTests","test_resize_without_restrictions"
"","2329","SimpleAlert_Test","PlaywrightDemoQA","Thu Mar 05 21:12:19 UTC 2026","passed","Thu Mar 05 21:12:22 UTC 2026","AlertsTests","PlaywrightDemoQA.Tests.AlertsFrameWindows","AlertsTests","SimpleAlert_Test"
